obs_wl_air,prev_obs,prev
5497.52,Z20q-FeI/Z20o-FeI/A17o-FeI,Z20q/Z20o/A17o
5498.0,A17o-INDEF,A17o
5501.47,A17o-FeI,A17o
5508.41,A17o-FeI,A17o
5709.38,Z20q-FeI/Z20o-FeI/A17o-FeI,Z20q/Z20o/A17o
5711.09,A17o-MgI,A17o
5727.78,A17o-VI,A17o
5732.3,A17o-FeI,A17o
5743.0,A17o-INDEF,A17o
5753.12,A17o-FeI,A17o
5753.69,A17o-FeI,A17o
5753.69,A17o-NiI,A17o
5755.35,A17o-FeI,A17o
5793.0,A17o-INDEF,A17o
5816.06,A17o-FeI,A17o
5816.37,A17o-FeI,A17o
5835.5,A17o-FeI,A17o
5835.57,A17o-FeI,A17o
5853.68,A17o-FeI,A17o
5859.61,A17o-FeI,A17o
5862.36,A17o-FeI,A17o
5895.63,A17o-NaI,A17o
5911.0,A17o-INDEF,A17o
5916.25,A17o-FeI,A17o
5957.56,A17o-SiII,A17o
5958.33,A17o-FeI,A17o
5976.78,A17o-FeI,A17o
5984.81,A17o-FeI,A17o
5992.0,A17o-INDEF,A17o
6008.56,A17o-FeI,A17o
6113.32,A17o-FeII,A17o
6116.04,A17o-FeI,A17o
6127.91,A17o-FeI,A17o
6138.24,A17o-CrI,A17o
6173.34,A17o-FeI,A17o
6200.31,Z20o-FeI:s/A17o-FeI,Z20o/A17o
6230.72,Z20q-FeI/Z20o-FeI/A17o-FeI,Z20q/Z20o/A17o
6232.64,A17o-FeI,A17o
6254.26,Z20q-FeI/A17o-FeI,Z20q/A17o
6266.0,A17o-INDEF,A17o
6297.79,A17o-FeI,A17o
6312.03,A17o-TiI,A17o
6312.42,A17o-SII,A17o
6318.02,Z20q-FeI/Z20o-FeI/A17o-FeI,Z20q/Z20o/A17o
6324.66,A17o-VI,A17o
6331.0,A17o-INDEF,A17o
6336.82,A17o-FeI,A17o
6408.02,A17o-FeI,A17o
6411.65,A17o-FeI,A17o
6421.35,Z20q-FeI/A17o-FeI,Z20q/A17o
6432.68,Z20q-FeII/Z20o-FeII/A17o-FeII,Z20q/Z20o/A17o
6450.86,A17o-CaI,A17o
6498.94,A17o-FeI,A17o
6534.0,A17o-INDEF,A17o
6546.24,A17o-FeI,A17o
6556.13,A17o-FeI,A17o
6574.1,A17o-FeI,A17o
6609.11,A17o-FeI,A17o
6678.88,A17o-FeII,A17o
6705.12,A17o-FeI,A17o
6750.15,Z20o-FeI/A17o-FeI,Z20o/A17o
6769.66,A17o-FeI,A17o
6772.0,A17o-INDEF,A17o
6786.0,A17o-INDEF,A17o
6808.0,A17o-INDEF,A17o
6816.0,A17o-INDEF,A17o
6841.34,A17o-FeI,A17o
6945.2,A17o-FeI,A17o
6978.85,A17o-FeI,A17o
6989.0,A17o-INDEF,A17o
6990.0,A17o-INDEF,A17o
7001.0,A17o-INDEF,A17o
7016.62,A17o-CoI,A17o
7024.06,A17o-FeI,A17o
