# line table created 10-03-21 from NIST database
# elements h-zn I-II included for wavelength range 2000-20000 angstrom. Energy units in ev. Only lines with trans prob. All level information. No uncertainties. 
#Data c+p from NIST as tab-delim. No JS, no spaces in values 
# note that headers changed from ritz_wl_air to obs_wl_air for compatability with existing code, removed units from headers too
# read in as dataframe by pandas, with delim tab, index col false and comment char #
#strings stripped from ei and ek in pandas eg line_table['Ek(eV)']=line_table['Ek(eV)'].str.replace('[^\d.]', '').astype(float)
#element	obs_wl_air	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type


element	sp_num	obs_wl_air	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	rm
Fe	1	"5263.8644"	"870"	"1.96e+05"	C	"3.57321890"	"5.92794713"	"3d7.(2H).4s"	"a 1H"	"5"	"3d6.(3F2).4s.4p.(3P*)"	"x 3G*"	"4"	11	9		
Fe	2	"5264.0199"	"330"	"1.10e+07"	C+	"10.4996322"	"12.8542909"	"3d6.(5D).4d"	"f 4D"	"7/2"	"3d6.(5D<2>).4f"	"2[3]*"	"7/2"	8	8		
Cr	1	"5264.15341"	"2600"	"4.1e+06"	B	"0.96841324"	"3.32301220"	"3d4.4s2"	"a 5D"	"1"	"3d5.(6S).4p"	"z 5P*"	"1"	3	3		
Fe	2	"5264.1790"	"2300"	"4.8e+07"	B+	"10.5027943"	"12.8573818"	"3d6.(5D).4d"	"e 6G"	"7/2"	"3d6.(5D<2>).4f"	"2[4]*"	"9/2"	8	10		
Mg	2	"5264.220"	"8"	"1.27e+07"	B+	"11.569039"	"13.923608"	"2p6.4d"	"2D"	"5/2"	"2p6.7f"	"2F*"	"7/2"	6	8		
Mg	2	"5264.220"	""	"8.47e+05"	B	"11.569039"	"13.923608"	"2p6.4d"	"2D"	"5/2"	"2p6.7f"	"2F*"	"5/2"	6	6		
Ca	1	"5264.237"	"22"	"9.1e+06"	D	"2.5229867"	"4.8775483"	"3p6.3d.4s"	"3D"	"2"	"3p6.3d.4p"	"3P*"	"2"	5	5		
Mg	2	"5264.364"	"7"	"1.19e+07"	B+	"11.569103"	"13.923608"	"2p6.4d"	"2D"	"3/2"	"2p6.7f"	"2F*"	"5/2"	4	6		
Fe	2	"5264.8026"	"80"	"3.5e+04"	C+	"3.23045937"	"5.58476799"	"3d6.(3G).4s"	"a 4G"	"5/2"	"3d6.(5D).4p"	"z 4D*"	"3/2"	6	4		
Ca	1	"5265.556"	"24"	"4.4e+07"	D	"2.5229867"	"4.8769584"	"3p6.3d.4s"	"3D"	"2"	"3p6.3d.4p"	"3P*"	"1"	5	3		
Ni	1	"5265.712"	""	"3.7e+05"	E	"3.6551768"	"6.0090789"	"3d9.(2D).4p"	"3F*"	"4"	"3d8.4s.(4F).5s"	"5F"	"5"	9	11		
Cr	1	"5265.71497"	"1050"	"8.5e+05"	B	"0.96841324"	"3.32231395"	"3d4.4s2"	"a 5D"	"1"	"3d5.(6S).4p"	"z 5P*"	"2"	3	5		
Co	1	"5265.787"	""	"5.0e+06"	B	"3.622368"	"5.976237"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4F*"	"5/2"	"3p6.3d7.4s.(5F).5s"	"f 4F"	"7/2"	6	8		
Fe	2	"5265.9850"	"130"	"2.3e+06"	D+	"10.4190334"	"12.7728134"	"3d6.(5D).4d"	"e 6G"	"13/2"	"3d6.(5D<4>).4f"	"2[7]*"	"13/2"	14	14		
Co	2	"5266.3637"	"m(Co I)"	"8.e+06"	D	"11.4858770"	"13.8394878"	"3d7.(4F).4d"	"e 3D"	"1"	"3d7.(4F<5/2>).4f"	"2[1/2]*"	"1"	3	3		
Co	1	"5266.500"	"45"	"1.7e+06"	C	"2.041759"	"4.395309"	"3p6.3d7.4s2"	"a 2G"	"9/2"	"3p6.3d8.(3F).4p"	"y 2F*"	"7/2"	10	8		
Ti	1	"5266.4902"	"0"	"2.8e+03"	D	"0.82585949"	"3.1794137"	"3d3.(4F).4s"	"a 5F"	"3"	"3d3.(4F).4p"	"y 3D*"	"3"	7	7		
Fe	1	"5266.5543"	"51000"	"1.10e+07"	B	"2.99804479"	"5.35157038"	"3d6.(5D).4s.4p.(3P*)"	"z 7P*"	"3"	"3d6.(5D).4s (6D).5s"	"e 7D"	"4"	7	9		
Fe	1	"5267.2688"	"209"	"6.77e+05"	C+	"4.37135106"	"6.72455738"	"3d7.(4F).4p"	"z 5G*"	"4"	"3d7.(4F).4d"	"e 5H"	"4"	9	9		
V	1	"5267.6135"	"9100"	"5.2e+05"	C+	"2.37369583"	"4.7267482"	"3d4.(3H).4s"	"b 2H"	"11/2"	"3d4.(3H).4p"	"x 2H*"	"9/2"	12	10		
Fe	2	"5268.4058"	"50"	"4.4e+06"	D+	"10.4996322"	"12.8523307"	"3d6.(5D).4d"	"f 4D"	"7/2"	"3d6.(5D<2>).4f"	"2[2]*"	"5/2"	8	6		
Ti	2	"5268.6082"	"22"	"9.6e+05"	D	"2.59768656"	"4.95029467"	"3d3"	"b 2F"	"5/2"	"3d2.(1D).4p"	"y 2F*"	"5/2"	6	6		
C	1	"5268.951"	"7200"	"1.3e+06"	C	"8.53709962"	"10.889554"	"2s2.2p.3p"	"1P"	"1"	"2s2.2p.6d"	"1P*"	"1"	3	3		
Ni	2	"5269.140"	""	"1.2e-01"	E	"1.680034"	"4.032405"	"3p6.3d8.(3F).4s"	"2F"	"7/2"	"3p6.3d8.(1G).4s"	"2G"	"7/2"	8	8	M1	
Ni	2	"5269.140"	""	"2.5e-04"	E	"1.680034"	"4.032405"	"3p6.3d8.(3F).4s"	"2F"	"7/2"	"3p6.3d8.(1G).4s"	"2G"	"7/2"	8	8	E2	
V	2	"5269.4591"	""	"3.4e-02"	D	"1.4004649"	"3.7526931"	"3d4"	"a 3P2"	"0"	"3d3.(2F).4s"	"c 3F"	"2"	1	5	E2	
Fe	1	"5269.5366"	"1020000"	"1.27e+06"	A	"0.85899575"	"3.21118938"	"3d7.(4F).4s"	"a 5F"	"5"	"3d6.(5D).4s.4p.(3P*)"	"z 5D*"	"4"	11	9		
Fe	2	"5270.0313"	"700"	"1.52e+07"	B+	"10.5027943"	"12.8547671"	"3d6.(5D).4d"	"e 6G"	"7/2"	"3d6.(5D<2>).4f"	"2[5]*"	"9/2"	8	10		
Co	2	"5270.1602"	"230*"	"1.09e+07"	C+	"11.40138467"	"13.7532999"	"3d7.(4F).4d"	"e 5D"	"3"	"3d7.(4F<7/2>).4f"	"2[9/2]*"	"4"	7	9		
Co	2	"5270.1797"	"230*"	"7.e+06"	D	"11.41211476"	"13.7640214"	"3d7.(4F).4d"	"e 3D"	"2"	"3d7.(4F<7/2>).4f"	"2[1/2]*"	"1"	5	3		
Ca	1	"5270.270"	"25"	"5.0e+07"	D	"2.5256821"	"4.8775483"	"3p6.3d.4s"	"3D"	"3"	"3p6.3d.4p"	"3P*"	"2"	7	5		
Be	2	"5270.270"	"810"	"3.234e+07"	AA	"11.9638999"	"14.315766"	"1s2.3p"	"2P*"	"1/2"	"1s2.4s"	"2S"	"1/2"	2	2		
Fe	1	"5270.3561"	"288000"	"3.67e+06"	B+	"1.60789577"	"3.95972364"	"3d7.(4F).4s"	"a 3F"	"2"	"3d6.(5D).4s.4p.(3P*)"	"z 3D*"	"1"	5	3		
Be	2	"5270.806"	"960"	"6.466e+07"	AA	"11.9641389"	"14.315766"	"1s2.3p"	"2P*"	"3/2"	"1s2.4s"	"2S"	"1/2"	4	2		
V	1	"5271.0261"	"32000"	"7.8e+05"	C	"1.7111742"	"4.06270318"	"3d3.4s2"	"a 2P"	"3/2"	"3d3.(4P).4s.4p.(3P*)"	"z 2P*"	"3/2"	4	4		
Fe	2	"5271.0986"	"150"	"2.1e+06"	D+	"10.5027943"	"12.8542909"	"3d6.(5D).4d"	"e 6G"	"7/2"	"3d6.(5D<2>).4f"	"2[3]*"	"7/2"	8	8		
Cr	1	"5272.0003"	"33"	"1.01e+07"	B	"3.44926489"	"5.80035930"	"3d4.(5D).4s.4p.(3P*)"	"y 7P*"	"3"	"3d4.4s.5s"	"f 7D"	"4"	7	9		
Co	2	"5272.1394"	"190"	"2.4e+07"	C+	"11.4858770"	"13.8369094"	"3d7.(4F).4d"	"e 3D"	"1"	"3d7.(4F<5/2>).4f"	"2[3/2]*"	"2"	3	5		
Fe	2	"5272.2203"	"120"	"4.2e+06"	D+	"10.4134460"	"12.7644423"	"3d6.(5D).4d"	"6D"	"3/2"	"3d6.(5D<4>).4f"	"2[3]*"	"5/2"	4	6		
Fe	2	"5272.3991"	"210"	"3.9e+05"	D+	"5.95609042"	"8.3070070"	"3d7"	"d 2D1"	"5/2"	"3d6.(3F2).4p"	"y 2D*"	"5/2"	6	6		
Fe	1	"5273.1633"	"7800"	"8.12e+06"	B	"3.29183986"	"5.64241573"	"3d6.(5D).4s.4p.(3P*)"	"z 5D*"	"0"	"3d6.(5D).4s (6D).5s"	"e 5D"	"1"	1	3		
Fe	1	"5273.3727"	"3160"	"5.55e+05"	D	"2.48437256"	"4.83485507"	"3d6.4s2"	"a 3P2"	"0"	"3d7.(4F).4p"	"y 3D*"	"1"	1	3		
Ni	2	"5274.110"	""	"1.2e-02"	E	"1.254182"	"3.604336"	"3p6.3d8.(3F).4s"	"4F"	"5/2"	"3p6.3d8.(3P).4s"	"2P"	"3/2"	6	4	M1	
Ni	2	"5274.110"	""	"1.7e-04"	E	"1.254182"	"3.604336"	"3p6.3d8.(3F).4s"	"4F"	"5/2"	"3p6.3d8.(3P).4s"	"2P"	"3/2"	6	4	E2	
O	1	"5274.967"	""	"1.32e+05"	C+	"10.9887923"	"13.3385644"	"2s2.2p3.(4S*).3p"	"3P"	"1"	"2s2.2p3.(4S*).7d"	"3D*"	"2"	3	5		
O	1	"5274.967"	""	"7.34e+04"	C	"10.9887923"	"13.3385644"	"2s2.2p3.(4S*).3p"	"3P"	"1"	"2s2.2p3.(4S*).7d"	"3D*"	"1"	3	3		
O	1	"5275.123"	""	"1.76e+05"	C+	"10.9888616"	"13.3385644"	"2s2.2p3.(4S*).3p"	"3P"	"2"	"2s2.2p3.(4S*).7d"	"3D*"	"3"	5	7		
O	1	"5275.123"	""	"4.40e+04"	C	"10.9888616"	"13.3385644"	"2s2.2p3.(4S*).3p"	"3P"	"2"	"2s2.2p3.(4S*).7d"	"3D*"	"2"	5	5		
O	1	"5275.123"	""	"4.89e+03"	D	"10.9888616"	"13.3385644"	"2s2.2p3.(4S*).3p"	"3P"	"2"	"2s2.2p3.(4S*).7d"	"3D*"	"1"	5	3		
O	1	"5275.166"	""	"9.78e+04"	C	"10.9888811"	"13.3385644"	"2s2.2p3.(4S*).3p"	"3P"	"0"	"2s2.2p3.(4S*).7d"	"3D*"	"1"	1	3		
Co	2	"5275.1976"	"150"	"1.8e+07"	C+	"11.41211476"	"13.7617842"	"3d7.(4F).4d"	"e 3D"	"2"	"3d7.(4F<7/2>).4f"	"2[3/2]*"	"2"	5	5		
Ni	2	"5275.816"	""	"8.2e-02"	E	"1.680034"	"4.029428"	"3p6.3d8.(3F).4s"	"2F"	"7/2"	"3p6.3d8.(1G).4s"	"2G"	"9/2"	8	10	M1	
Ni	2	"5275.816"	""	"4.0e-03"	E	"1.680034"	"4.029428"	"3p6.3d8.(3F).4s"	"2F"	"7/2"	"3p6.3d8.(1G).4s"	"2G"	"9/2"	8	10	E2	
Fe	2	"5275.9969"	"500"	"3.8e+05"	C	"3.19945278"	"5.54876624"	"3d6.(3G).4s"	"a 4G"	"9/2"	"3d6.(5D).4p"	"z 4F*"	"7/2"	10	8		
S	1	"5278.128"	"1"	"4.33e+05"	E	"6.8601463"	"9.2085111"	"3s2.3p3.(4S*).4s"	"3S*"	"1"	"3s2.3p3.(4S*).5p"	"3P"	"0"	3	1		
Fe	2	"5278.2298"	"50"	"2.3e+06"	D+	"10.4672943"	"12.8156139"	"3d6.(5D).4d"	"6P"	"3/2"	"3d6.(5D<3>).4f"	"2[3]*"	"5/2"	4	6		
Al	2	"5278.68"	"6"	"1.11e+06"	D	"15.585203"	"17.93332"	"3s.5p"	"3P*"	"0"	"3s.8d"	"3D"	"1"	1	3		
S	1	"5278.700"	"2"	"4.28e+05"	E	"6.8601463"	"9.2082568"	"3s2.3p3.(4S*).4s"	"3S*"	"1"	"3s2.3p3.(4S*).5p"	"3P"	"1"	3	3		
S	1	"5278.993"	"3"	"4.24e+05"	D	"6.8601463"	"9.2081263"	"3s2.3p3.(4S*).4s"	"3S*"	"1"	"3s2.3p3.(4S*).5p"	"3P"	"2"	3	5		
Cr	2	"5279.8772"	"21"	"2.4e+05"	D	"4.07340781"	"6.42099470"	"3d5"	"b 4F"	"9/2"	"3d4.(5D).4p"	"z 4F*"	"7/2"	10	8		
Al	2	"5280.216"	"8"	"1.49e+06"	D	"15.5859083"	"17.933345"	"3s.5p"	"3P*"	"1"	"3s.8d"	"3D"	"2"	3	5		
Al	2	"5280.27"	""	"8.32e+05"	D	"15.5859083"	"17.93332"	"3s.5p"	"3P*"	"1"	"3s.8d"	"3D"	"1"	3	3		
Fe	1	"5280.3609"	"540"	"7.27e+05"	C+	"3.64164057"	"5.98901244"	"3d6.4s2"	"b 3D"	"3"	"3d7.(4P).4p"	"x 3P*"	"2"	7	5		
Co	2	"5280.6459"	"5600bl(Co I)"	"9.1e+06"	C+	"11.41211476"	"13.7593599"	"3d7.(4F).4d"	"e 3D"	"2"	"3d7.(4F<7/2>).4f"	"2[5/2]*"	"3"	5	7		
Co	1	"5280.629"	"45w"	"2.8e+07"	D	"3.628984"	"5.976237"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4G*"	"9/2"	"3p6.3d7.4s.(5F).5s"	"f 4F"	"7/2"	10	8		
Fe	2	"5280.9327"	"40"	"1.3e+06"	D+	"10.5310027"	"12.8781204"	"3d6.(5D).4d"	"e 6G"	"3/2"	"3d6.(5D<1>).4f"	"2[2]*"	"3/2"	4	4		
N	1	"5281.204"	"185"	"2.45e+05"	C	"10.9239080"	"13.2709052"	"2s.2p4"	"4P"	"5/2"	"2s2.2p2.(3P).4p"	"4P*"	"5/2"	6	6		
Ni	2	"5281.271"	""	"1.3e-03"	E	"1.322154"	"3.669121"	"3p6.3d8.(3F).4s"	"4F"	"3/2"	"3p6.3d8.(3P).4s"	"2P"	"1/2"	4	2	M1	
Ni	2	"5281.271"	""	"5.7e-05"	E	"1.322154"	"3.669121"	"3p6.3d8.(3F).4s"	"4F"	"3/2"	"3p6.3d8.(3P).4s"	"2P"	"1/2"	4	2	E2	
V	2	"5281.384"	""	"1.4e-01"	D	"1.67265648"	"4.0195734"	"3d4"	"b 3F2"	"2"	"3d4"	"d 3P1"	"0"	5	1	E2	
Fe	1	"5281.7895"	"15800"	"5.00e+06"	B	"3.03847046"	"5.38520741"	"3d6.(5D).4s.4p.(3P*)"	"z 7P*"	"2"	"3d6.(5D).4s (6D).5s"	"e 7D"	"3"	5	7		
Ti	1	"5282.3764"	"300"	"2.4e+06"	D	"1.05292613"	"3.3994023"	"3d2.4s2"	"a 3P"	"1"	"3d2.(1D).4s.4p.(3P*)"	"x 3D*"	"2"	3	5		
Fe	1	"5283.6207"	"33900"	"1.02e+07"	B	"3.24096914"	"5.58689276"	"3d6.(5D).4s.4p.(3P*)"	"z 5D*"	"3"	"3d6.(5D).4s (6D).5s"	"e 5D"	"3"	7	7		
Al	2	"5283.733"	"100"	"2.00e+06"	C	"15.5875046"	"17.933378"	"3s.5p"	"3P*"	"2"	"3s.8d"	"3D"	"3"	5	7		
Al	2	"5283.809"	""	"4.99e+05"	D	"15.5875046"	"17.933345"	"3s.5p"	"3P*"	"2"	"3s.8d"	"3D"	"2"	5	5		
Al	2	"5283.86"	""	"5.53e+04"	E	"15.5875046"	"17.93332"	"3s.5p"	"3P*"	"2"	"3s.8d"	"3D"	"1"	5	3		
Fe	2	"5284.0707"	"50"	"1.7e+06"	D+	"10.5310027"	"12.8767266"	"3d6.(5D).4d"	"e 6G"	"3/2"	"3d6.(5D<1>).4f"	"2[2]*"	"5/2"	4	6		
Fe	2	"5284.10322"	"90"	"1.9e+04"	E	"2.89101830"	"5.23672772"	"3d5.4s2"	"a 6S"	"5/2"	"3d6.(5D).4p"	"z 6F*"	"7/2"	6	8		
Fe	1	"5284.4245"	"660"	"8.29e+04"	C+	"3.63434980"	"5.97991659"	"3d6.4s2"	"a 1I"	"6"	"3d6.(3G).4s.4p.(3P*)"	"y 5H*"	"5"	13	11		
Fe	1	"5285.1269"	"214"	"6.4e+05"	E	"4.43461275"	"6.77986785"	"3d7.(4F).4p"	"z 3G*"	"4"	"3d7.(4F).4d"	"f 3F"	"4"	9	9		
Ca	2	"5285.266"	"60"	"7.8e+06"	D	"7.505138"	"9.850331"	"3p6.5p"	"2P*"	"1/2"	"3p6.7s"	"2S"	"1/2"	2	2		
Al	2	"5285.838"	"30"	"3.28e+06"	C	"15.6057689"	"17.950709"	"3s.5p"	"1P*"	"1"	"3s.8d"	"1D"	"2"	3	5		
Ar	1	"5286.069"	""	"9.6e+04"	E	"13.17177770"	"15.5166146"	"3s2.3p5.(2P*<3/2>).4p"	"2[3/2]"	"2"	"3s2.3p5.(2P*<1/2>).6d"	"2[5/2]*"	"3"	5	7		
Ar	2	"5286.88689"	"18"	"2.e+05"	C	"17.265833524"	"19.61030789"	"3s2.3p4.(3P).4s"	"2P"	"1/2"	"3s2.3p4.(3P).4p"	"4D*"	"3/2"	2	4		
Cr	1	"5287.1780"	"12"	"4.22e+06"	B	"3.43793441"	"5.78227967"	"3d4.(5D).4s.4p.(3P*)"	"y 7P*"	"2"	"3d4.4s.5s"	"f 7D"	"3"	5	7		
Co	1	"5287.553"	""	"3.0e+06"	B	"3.632058"	"5.976237"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4D*"	"7/2"	"3p6.3d7.4s.(5F).5s"	"f 4F"	"7/2"	8	8		
Fe	1	"5288.5264"	"2190"	"8.22e+05"	B	"3.69459719"	"6.03834476"	"3d6.4s2"	"b 1G2"	"4"	"3d6.(3H).4s.4p.(3P*)"	"y 1G*"	"4"	9	9		
Ti	1	"5289.2690"	"33"	"4.8e+04"	C	"0.83599520"	"3.1794137"	"3d3.(4F).4s"	"a 5F"	"4"	"3d3.(4F).4p"	"y 3D*"	"3"	9	7		
Ar	1	"5290.015"	""	"9.0e+04"	E	"13.17177770"	"15.5148657"	"3s2.3p5.(2P*<3/2>).4p"	"2[3/2]"	"2"	"3s2.3p5.(2P*<3/2>).8d"	"2[1/2]*"	"1"	5	3		
Fe	1	"5290.7442"	""	"2.2e-01"	E	"0.95815732"	"3.30092244"	"3d7.(4F).4s"	"a 5F"	"3"	"3d7.(2D2).4s"	"a 3D"	"2"	7	5	M1	
C	1	"5290.993"	""	"8.e+03"	D	"8.64039604"	"10.983051"	"2s2.2p.3p"	"3D"	"1"	"2s2.2p.(2P*<3/2>).8s"	"2[3/2]*"	"2"	3	5		
Fe	2	"5291.6610"	"5000"	"6.9e+07"	B+	"10.4801123"	"12.8224715"	"3d6.(5D).4d"	"e 6G"	"9/2"	"3d6.(5D<3>).4f"	"2[6]*"	"11/2"	10	12		
Cu	1	"5292.524"	"1650"	"1.09e+07"	C+	"5.395050"	"7.737027"	"3d9.(2D).4s.4p.(3P*)"	"4D*"	"7/2"	"3d9.4s.(3D).5s"	"4D"	"7/2"	8	8		
Mn	1	"5292.872"	""	"1.5e+05"	C	"3.382518"	"5.724342"	"3d5.4s2"	"a 4P"	"1/2"	"3d6.(5D).4p"	"z 4D*"	"1/2"	2	2		
Fe	1	"5293.0319"	"89"	"1.0e+05"	E	"4.38646275"	"6.72821528"	"3d7.(4F).4p"	"z 3G*"	"5"	"3d7.(4F).4d"	"e 3H"	"5"	11	11		
Cr	1	"5293.3760"	"11"	"2.1e+06"	D	"3.37521461"	"5.71681492"	"3d5.(4P).4s"	"b 3P"	"2"	"3d5.(4P).4p"	"y 3D*"	"2"	5	5		
P	1	"5293.537"	"140"	"5.8e+06"	E	"7.1757806"	"9.5173096"	"3s2.3p2.(3P).4s"	"2P"	"1/2"	"3s2.3p2.(3P).5p"	"2P*"	"1/2"	2	2		
Co	2	"5293.6550"	"41"	"6.e+04"	E	"11.42150371"	"13.7629806"	"3d7.(4F).4d"	"e 5H"	"4"	"3d7.(4P).5p"	"5D*"	"3"	9	7		
Fe	1	"5293.9583"	"245"	"6.9e+05"	E	"4.14264893"	"6.48399171"	"3d8"	"c 3F"	"3"	"3d7.(2P).4p"	"u 3D*"	"2"	7	5		
Mn	2	"5294.38"	"50h"	"4.4e+07"	C	"9.861818"	"12.202975"	"3d5.(6S).4d"	"e 7D"	"1"	"3d5.(6S).4f"	"7F*"	"2"	3	5		
Fe	1	"5294.5471"	"89"	"7.3e+04"	E	"3.63977237"	"5.98085478"	"3d6.4s2"	"b 3D"	"2"	"3d6.(3G).4s.4p.(3P*)"	"v 5F*"	"2"	5	5		
Fe	1	"5295.3124"	"234"	"7.3e+05"	E	"4.41527878"	"6.75602283"	"3d7.(4F).4p"	"z 5G*"	"3"	"3d7.(4F).4d"	"e 5H"	"3"	7	7		
Mn	2	"5295.44"	"50h"	"7.8e+07"	C	"9.862287"	"12.202975"	"3d5.(6S).4d"	"e 7D"	"2"	"3d5.(6S).4f"	"7F*"	"3"	5	7		
Ti	1	"5295.7758"	"460"	"7.91e+05"	C+	"1.06655474"	"3.4070940"	"3d2.4s2"	"a 3P"	"2"	"3d2.(1D).4s.4p.(3P*)"	"x 3D*"	"3"	5	7		
P	2	"5296.077"	"400"	"5.5e+07"	D	"10.802074"	"13.142480"	"3s2.3p.4s"	"3P*"	"2"	"3s2.3p.4p"	"3S"	"1"	5	3		
Cr	1	"5296.69109"	"2100"	"3.1e+06"	B	"0.98287742"	"3.32301220"	"3d4.4s2"	"a 5D"	"2"	"3d5.(6S).4p"	"z 5P*"	"1"	5	3		
C	1	"5296.934"	"1000"	"1.1e+05"	D	"8.643023685"	"10.983051"	"2s2.2p.3p"	"3D"	"2"	"2s2.2p.(2P*<3/2>).8s"	"2[3/2]*"	"2"	5	5		
Mn	2	"5297.07"	"60h"	"1.11e+08"	C	"9.863005"	"12.202971"	"3d5.(6S).4d"	"e 7D"	"3"	"3d5.(6S).4f"	"7F*"	"4"	7	9		
Co	2	"5297.2274"	"36"	"6.e+05"	D	"11.42150371"	"13.7614016"	"3d7.(4F).4d"	"e 5H"	"4"	"3d7.(4P).5p"	"5D*"	"4"	9	9		
Cr	1	"5297.37623"	"460"	"3.88e+07"	B	"2.89953685"	"5.23936898"	"3d5.(6S).4p"	"z 7P*"	"3"	"3d5.(6S).4d"	"e 7D"	"4"	7	9		
Cr	1	"5298.01460"	"340"	"3.0e+07"	D	"2.89953685"	"5.23908705"	"3d5.(6S).4p"	"z 7P*"	"3"	"3d5.(6S).4d"	"e 7D"	"3"	7	7		
Cr	1	"5298.27202"	"3540"	"3.3e+06"	B	"0.98287742"	"3.32231395"	"3d4.4s2"	"a 5D"	"2"	"3d5.(6S).4p"	"z 5P*"	"2"	5	5		
Fe	1	"5298.7756"	"363"	"4.58e+05"	C+	"3.64164057"	"5.98085478"	"3d6.4s2"	"b 3D"	"3"	"3d6.(3G).4s.4p.(3P*)"	"v 5F*"	"2"	7	5		
Fe	2	"5298.8573"	"600"	"1.17e+07"	C+	"10.5194227"	"12.8586008"	"3d6.(5D).4d"	"e 6G"	"5/2"	"3d6.(5D<2>).4f"	"2[4]*"	"7/2"	6	8		
O	1	"5298.887"	""	"3.58e+05"	C+	"10.9887923"	"13.3279572"	"2s2.2p3.(4S*).3p"	"3P"	"1"	"2s2.2p3.(4S*).8s"	"3S*"	"1"	3	3		
O	1	"5299.044"	""	"5.96e+05"	C+	"10.9888616"	"13.3279572"	"2s2.2p3.(4S*).3p"	"3P"	"2"	"2s2.2p3.(4S*).8s"	"3S*"	"1"	5	3		
O	1	"5299.088"	""	"1.19e+05"	C	"10.9888811"	"13.3279572"	"2s2.2p3.(4S*).3p"	"3P"	"0"	"2s2.2p3.(4S*).8s"	"3S*"	"1"	1	3		
Mn	2	"5299.34"	"80h"	"1.4e+08"	C	"9.864004"	"12.202970"	"3d5.(6S).4d"	"e 7D"	"4"	"3d5.(6S).4f"	"7F*"	"5"	9	11		
Ti	1	"5300.0105"	"96"	"2.7e+06"	D	"1.05292613"	"3.3915953"	"3d2.4s2"	"a 3P"	"1"	"3d2.(1D).4s.4p.(3P*)"	"x 3D*"	"1"	3	3		
V	1	"5300.5944"	":"	"1.2e+06"	C	"2.61626360"	"4.9546751"	"3d4.(3G).4s"	"2G"	"7/2"	"3d4.(3H).4p"	"u 4G*"	"5/2"	8	6		
Cr	1	"5300.74563"	"530"	"2.5e+05"	B	"0.98287742"	"3.32122225"	"3d4.4s2"	"a 5D"	"2"	"3d5.(6S).4p"	"z 5P*"	"3"	5	7		
C	1	"5300.864"	"1600"	"1.9e+05"	D	"8.64039604"	"10.9786886"	"2s2.2p.3p"	"3D"	"1"	"2s2.2p.(2P*<1/2>).8s"	"2[1/2]*"	"1"	3	3		
Co	1	"5301.039"	"26"	"4.0e+05"	C	"1.710426"	"4.048642"	"3p6.3d7.4s2"	"a 4P"	"5/2"	"3p6.3d8.(3F).4p"	"y 4D*"	"5/2"	6	6		
Sc	1	"5301.9514"	"5g"	"1.05e+05"	B+	"0.00000000"	"2.3378131"	"3d.4s2"	"2D"	"3/2"	"4s2.4p"	"2P*"	"3/2"	4	4		
Fe	1	"5302.3001"	"25"	"9.04e+06"	B	"3.28302483"	"5.62068415"	"3d6.(5D).4s.4p.(3P*)"	"z 5D*"	"1"	"3d6.(5D).4s (6D).5s"	"e 5D"	"2"	3	5		
C	1	"5302.359"	"1600"	"8.e+05"	D	"8.64039604"	"10.978030"	"2s2.2p.3p"	"3D"	"1"	"2s2.2p.(2P*<1/2>).8s"	"2[1/2]*"	"0"	3	1		
Mn	2	"5302.34"	"100h"	"1.8e+08"	C	"9.865326"	"12.202966"	"3d5.(6S).4d"	"e 7D"	"5"	"3d5.(6S).4f"	"7F*"	"6"	11	13		
Fe	2	"5302.5377"	"140"	"5.0e+06"	D+	"10.5194227"	"12.8569773"	"3d6.(5D).4d"	"e 6G"	"5/2"	"3d6.(5D<2>).4f"	"2[3]*"	"5/2"	6	6		
Fe	1	"5303.9944"	""	"4.6e-01"	E	"0.08728574"	"2.42419831"	"3d6.4s2"	"a 5D"	"2"	"3d6.4s2"	"a 3P2"	"1"	5	3	M1	
Fe	1	"5304.0693"	""	"1.8e-01"	E	"0.91460217"	"3.25148176"	"3d7.(4F).4s"	"a 5F"	"4"	"3d7.(2D2).4s"	"a 3D"	"3"	9	7	M1	
Cr	1	"5304.1800"	"19"	"5.35e+06"	B	"3.46352849"	"5.80035930"	"3d4.(5D).4s.4p.(3P*)"	"y 7P*"	"4"	"3d4.4s.5s"	"f 7D"	"4"	9	9		
Fe	2	"5306.1824"	"1600"	"3.28e+07"	B+	"10.5226519"	"12.8586008"	"3d6.(5D).4d"	"f 4D"	"5/2"	"3d6.(5D<2>).4f"	"2[4]*"	"7/2"	6	8		
C	1	"5306.315"	"1000"	"6.e+05"	D	"8.647160399"	"10.983051"	"2s2.2p.3p"	"3D"	"3"	"2s2.2p.(2P*<3/2>).8s"	"2[3/2]*"	"2"	7	5		
N	2	"5306.774"	""	"2.20e+04"	D	"23.124489"	"25.460177"	"2s2.2p.3d"	"3F*"	"2"	"2s2.2p.4p"	"1D"	"2"	5	5		
C	1	"5306.828"	"3500"	"6.e+05"	D	"8.643023685"	"10.9786886"	"2s2.2p.3p"	"3D"	"2"	"2s2.2p.(2P*<1/2>).8s"	"2[1/2]*"	"1"	5	3		
